review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20251016-206449,CUST-10417,REST-AUH-002,Poor experience. Dal Makhani and Chole Bhature were disappointing. Dal Makhani was burnt on the edges. Very unhappy.,2,2025-10-20T12:36:54.076024
REV-000002,ORD-20251018-240725,CUST-10290,REST-DXB-002,Pleasant meal! Samosa (2 pcs)  Gulab Jamun (2 pcs)  Jeera Rice  and Paneer Tikka arrived warm. Samosa (2 pcs) was tasty though not exceptional. Would order again.,4,2025-10-23T20:07:50.076024
REV-000004,ORD-20251029-283129,CUST-10106,REST-DXB-002,Perfect in every way! Garlic Naan  Chicken 65  Lamb Rogan Josh  and Kulfi were all excellent. Chicken 65 stood out with its rich  authentic taste.,5,2025-11-01T13:00:39.076024
REV-000003,ORD-20251025-537536,CUST-10440,REST-AUH-002,Enjoyed the Chicken Biryani and Garlic Naan! Garlic Naan was very good. Portion sizes were generous. Recommend!,4,2025-11-01T21:48:42.076024
REV-000006,ORD-20251104-580819,CUST-10270,REST-DXB-001,Perfect in every way! Chicken Seekh Kebab and Chicken Tikka Masala were all excellent. Chicken Tikka Masala stood out with its rich  authentic taste.,5,2025-11-05T12:54:04.076024
REV-000005,ORD-20251101-126822,CUST-10226,REST-SHJ-001,Decent food but nothing special. Fresh Lime Soda  Chole Bhature  Paneer Tikka  and Gulab Jamun (2 pcs) were okay. Chole Bhature lacked the punch I expected.,3,2025-11-05T16:24:35.076024
REV-000007,ORD-20251116-896829,CUST-10328,REST-DXB-001,Solid experience. Chicken Tikka Masala  Chicken Biryani  Dal Makhani  Fish Curry  and Masala Chai were well-prepared. Fish Curry had great flavor. Minor issues with packaging.,4,2025-11-23T11:08:20.076024
REV-000010,ORD-20251127-953251,CUST-10220,REST-DXB-001,Very satisfied! Gajar Halwa  Chole Bhature  Tandoori Roti  and Butter Naan were fresh and flavorful. Tandoori Roti was the standout dish.,4,2025-11-28T22:26:38.076024
REV-000009,ORD-20251127-397094,CUST-10413,REST-DXB-002,Good quality food. Paneer Tikka and Gajar Halwa were nicely done. Gajar Halwa could have been slightly spicier but still good!,4,2025-11-30T19:02:26.076024
REV-000011,ORD-20251128-782125,CUST-10469,REST-SHJ-001,Very satisfied! Chole Bhature and Malai Kofta were fresh and flavorful. Chole Bhature was the standout dish.,4,2025-12-02T10:26:50.076024
REV-000008,ORD-20251126-872339,CUST-10038,REST-AUH-001,Average experience. Paneer Butter Masala  Samosa (2 pcs)  and Chicken Biryani were fine but Samosa (2 pcs) was a bit bland. Room for improvement.,3,2025-12-03T19:47:34.076024
REV-000012,ORD-20251206-619550,CUST-10191,REST-AUH-001,Absolutely amazing Palak Paneer  Mango Lassi  and Naan! The Naan was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-12T10:59:50.076024
REV-000014,ORD-20251211-760415,CUST-10352,REST-DXB-002,Hands down the best Chicken 65 I've ever had! Chicken 65 were all prepared beautifully. Fresh and flavorful!,5,2025-12-14T18:55:09.076024
REV-000013,ORD-20251209-112325,CUST-10254,REST-SHJ-001,Absolutely amazing Chicken 65! The Chicken 65 was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-15T20:08:17.076024
REV-000015,ORD-20251212-267721,CUST-10177,REST-DXB-001,Great food overall. Dal Makhani  Kulfi  and Gulab Jamun (2 pcs) were tasty  especially the Gulab Jamun (2 pcs). Would order again!,4,2025-12-16T15:07:45.076024
REV-000016,ORD-20251214-932936,CUST-10191,REST-AUH-002,Wow! Just wow! Palak Paneer  Tandoori Roti  Naan  and Lamb Rogan Josh were all fantastic. Tandoori Roti was particularly memorable. Can't wait to order again!,5,2025-12-17T13:39:40.076024
REV-000018,ORD-20251217-850672,CUST-10373,REST-DXB-002,Perfect in every way! Chicken Seekh Kebab were all excellent. Chicken Seekh Kebab stood out with its rich  authentic taste.,5,2025-12-18T18:34:17.076024
REV-000017,ORD-20251216-603542,CUST-10025,REST-AUH-001,Exceptional quality! Ordered Chicken Biryani and everything was delicious. The Chicken Biryani melted in my mouth. Perfect!,5,2025-12-21T18:23:55.076024
REV-000019,ORD-20251226-906568,CUST-10068,REST-DXB-001,Absolutely amazing Kulfi  Lamb Rogan Josh  and Palak Paneer! The Lamb Rogan Josh was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-30T12:19:52.076024
REV-000020,ORD-20251230-468462,CUST-10475,REST-SHJ-001,Pleasant meal! Kulfi and Vegetable Biryani arrived warm. Kulfi was tasty though not exceptional. Would order again.,4,2026-01-01T14:01:06.076024
REV-000022,ORD-20260101-819358,CUST-10365,REST-SHJ-001,Great food overall. Tandoori Roti  Rasmalai (2 pcs)  Chicken Tikka Masala  and Gajar Halwa were tasty  especially the Tandoori Roti. Would order again!,4,2026-01-02T12:39:55.076024
REV-000021,ORD-20251230-402130,CUST-10158,REST-DXB-002,Great food overall. Chicken Tikka Masala  Rasmalai (2 pcs)  Kulfi  Lamb Rogan Josh  and Chicken Seekh Kebab were tasty  especially the Kulfi. Would order again!,4,2026-01-02T14:42:23.076024
REV-000023,ORD-20260104-303304,CUST-10293,REST-DXB-002,Pleasant meal! Kulfi  Vegetable Biryani  and Butter Chicken arrived warm. Kulfi was tasty though not exceptional. Would order again.,4,2026-01-09T13:39:32.076024
REV-000027,ORD-20260108-809018,CUST-10072,REST-SHJ-001,Below expectations. Paneer Tikka and Fresh Lime Soda were underwhelming. Fresh Lime Soda was overcooked and dry.,2,2026-01-09T16:10:17.076024
REV-000024,ORD-20260104-880771,CUST-10161,REST-SHJ-001,Outstanding experience! The Garlic Naan  Aloo Tikki Chaat  and Butter Chicken exceeded all expectations. Aloo Tikki Chaat was the star of the meal. Will definitely order again!,5,2026-01-10T15:06:42.076024
REV-000025,ORD-20260104-556193,CUST-10499,REST-AUH-002,Perfect in every way! Paneer Tikka were all excellent. Paneer Tikka stood out with its rich  authentic taste.,5,2026-01-10T21:28:18.076024
REV-000026,ORD-20260107-121167,CUST-10197,REST-SHJ-001,Perfect in every way! Butter Naan  Mango Lassi  and Chole Bhature were all excellent. Butter Naan stood out with its rich  authentic taste.,5,2026-01-11T13:56:12.076024
REV-000028,ORD-20260110-248999,CUST-10132,REST-DXB-001,Incredible meal! Gajar Halwa and Butter Chicken arrived hot and fresh. The Butter Chicken was absolutely divine. Highly satisfied!,5,2026-01-11T22:25:45.076024
REV-000029,ORD-20260111-391210,CUST-10180,REST-DXB-001,Perfect in every way! Paneer Tikka  Rasmalai (2 pcs)  Dal Makhani  Sweet Lassi  and Palak Paneer were all excellent. Paneer Tikka stood out with its rich  authentic taste.,5,2026-01-15T12:22:16.076024
REV-000031,ORD-20260114-570168,CUST-10252,REST-AUH-002,Absolutely amazing Gajar Halwa and Aloo Tikki Chaat! The Gajar Halwa was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-15T15:51:15.076024
REV-000030,ORD-20260112-290016,CUST-10374,REST-DXB-002,Worst food ever! Gajar Halwa were all wrong. Gajar Halwa made me sick. Never ordering again!,1,2026-01-17T21:03:30.076024
REV-000032,ORD-20260116-765831,CUST-10091,REST-AUH-001,Solid experience. Chicken 65  Fresh Lime Soda  Mango Lassi  Butter Naan  and Gulab Jamun (2 pcs) were well-prepared. Chicken 65 had great flavor. Minor issues with packaging.,4,2026-01-21T14:11:16.076024
REV-000033,ORD-20260118-121376,CUST-10426,REST-AUH-002,Wow! Just wow! Garlic Naan and Dal Makhani were all fantastic. Garlic Naan was particularly memorable. Can't wait to order again!,5,2026-01-25T22:00:58.076024
REV-000034,ORD-20260119-330037,CUST-10304,REST-AUH-002,Mediocre. Sweet Lassi  Butter Chicken  Lamb Rogan Josh  Samosa (2 pcs)  and Masala Chai were fine but forgettable. Butter Chicken didn't stand out.,3,2026-01-26T12:30:00.076024
REV-000035,ORD-20260122-829323,CUST-10116,REST-AUH-001,Best Indian food in UAE! Gulab Jamun (2 pcs) were incredible. Gulab Jamun (2 pcs) had the perfect balance of spices. Five stars!,5,2026-01-28T12:55:45.076024
REV-000036,ORD-20260125-206545,CUST-10255,REST-DXB-002,Best Indian food in UAE! Tandoori Roti and Lamb Rogan Josh were incredible. Tandoori Roti had the perfect balance of spices. Five stars!,5,2026-02-01T13:10:57.076024
REV-000037,ORD-20260129-926405,CUST-10225,REST-SHJ-001,Wow! Just wow! Paneer Butter Masala were all fantastic. Paneer Butter Masala was particularly memorable. Can't wait to order again!,5,2026-02-01T21:05:29.076024
REV-000040,ORD-20260202-267608,CUST-10146,REST-DXB-002,Average experience. Butter Naan  Garlic Naan  and Samosa (2 pcs) were fine but Butter Naan was a bit bland. Room for improvement.,3,2026-02-06T14:37:34.076024
REV-000039,ORD-20260131-529139,CUST-10154,REST-AUH-002,Appalling quality! Chicken Biryani  Butter Naan  Vegetable Biryani  Samosa (2 pcs)  and Fresh Lime Soda were swimming in oil. Samosa (2 pcs) was raw inside. Health hazard!,1,2026-02-06T17:15:27.076024
REV-000038,ORD-20260131-289525,CUST-10338,REST-DXB-001,Enjoyed the Rasmalai (2 pcs)! Rasmalai (2 pcs) was very good. Portion sizes were generous. Recommend!,4,2026-02-07T16:09:42.076024
REV-000043,ORD-20260207-212482,CUST-10015,REST-SHJ-001,Exceptional quality! Ordered Fresh Lime Soda and everything was delicious. The Fresh Lime Soda melted in my mouth. Perfect!,5,2026-02-08T12:59:37.076024
REV-000041,ORD-20260204-784012,CUST-10492,REST-AUH-001,Perfect in every way! Naan  Kulfi  and Rasmalai (2 pcs) were all excellent. Kulfi stood out with its rich  authentic taste.,5,2026-02-09T12:38:34.076024
REV-000044,ORD-20260207-547521,CUST-10328,REST-SHJ-001,Absolutely horrible! Tandoori Roti  Masala Chai  Gajar Halwa  Chicken Seekh Kebab  and Chicken Biryani arrived ice cold after 2 hour delay. Chicken Seekh Kebab was spoiled. Disgusting!,1,2026-02-10T22:52:48.076024
REV-000042,ORD-20260205-680869,CUST-10172,REST-AUH-001,Worst food ever! Lamb Rogan Josh and Sweet Lassi were all wrong. Sweet Lassi made me sick. Never ordering again!,1,2026-02-12T21:02:40.076024
REV-000045,ORD-20260211-522878,CUST-10022,REST-SHJ-001,Best Indian food in UAE! Vegetable Biryani  Garlic Naan  Gulab Jamun (2 pcs)  and Sweet Lassi were incredible. Vegetable Biryani had the perfect balance of spices. Five stars!,5,2026-02-13T13:20:36.076024
REV-000046,ORD-20260213-599792,CUST-10314,REST-DXB-001,Unsatisfactory. Sweet Lassi and Chicken Seekh Kebab were not fresh. Sweet Lassi tasted reheated. Won't order again.,2,2026-02-19T20:08:37.076024
REV-000047,ORD-20260214-748441,CUST-10414,REST-DXB-001,Incredible meal! Rasmalai (2 pcs)  Paneer Butter Masala  and Samosa (2 pcs) arrived hot and fresh. The Rasmalai (2 pcs) was absolutely divine. Highly satisfied!,5,2026-02-20T15:54:45.076024
REV-000048,ORD-20260218-870980,CUST-10245,REST-DXB-002,Incredible meal! Paneer Tikka  Masala Chai  and Sweet Lassi arrived hot and fresh. The Sweet Lassi was absolutely divine. Highly satisfied!,5,2026-02-24T12:39:09.076024
REV-000050,ORD-20260224-437676,CUST-10081,REST-SHJ-001,Average experience. Lamb Rogan Josh  Chole Bhature  and Chicken 65 were fine but Lamb Rogan Josh was a bit bland. Room for improvement.,3,2026-02-27T18:12:41.076024
REV-000051,ORD-20260225-605030,CUST-10088,REST-AUH-001,Hands down the best Butter Naan I've ever had! Butter Naan were all prepared beautifully. Fresh and flavorful!,5,2026-02-27T20:15:31.076024
REV-000052,ORD-20260226-344162,CUST-10369,REST-AUH-001,Enjoyed the Lamb Rogan Josh and Aloo Tikki Chaat! Lamb Rogan Josh was very good. Portion sizes were generous. Recommend!,4,2026-02-28T17:06:47.076024
REV-000049,ORD-20260222-854600,CUST-10014,REST-DXB-002,Perfect in every way! Paneer Butter Masala were all excellent. Paneer Butter Masala stood out with its rich  authentic taste.,5,2026-03-01T13:48:27.076024
REV-000053,ORD-20260309-385402,CUST-10031,REST-DXB-002,Great food overall. Rasmalai (2 pcs)  Chicken Tikka Masala  Samosa (2 pcs)  Kulfi  and Jeera Rice were tasty  especially the Rasmalai (2 pcs). Would order again!,4,2026-03-10T15:14:14.076024
REV-000056,ORD-20260312-113758,CUST-10496,REST-AUH-001,Very satisfied! Kulfi and Samosa (2 pcs) were fresh and flavorful. Kulfi was the standout dish.,4,2026-03-13T20:38:40.076024
REV-000054,ORD-20260310-189792,CUST-10161,REST-SHJ-001,Disappointed with Aloo Tikki Chaat  Rasmalai (2 pcs)  Butter Chicken  Jeera Rice  and Chicken Seekh Kebab. Butter Chicken was cold when it arrived. Not worth the money.,2,2026-03-14T16:42:09.076024
REV-000057,ORD-20260314-849085,CUST-10145,REST-AUH-002,Very satisfied! Chicken Seekh Kebab  Vegetable Biryani  Malai Kofta  Lamb Rogan Josh  and Paneer Butter Masala were fresh and flavorful. Vegetable Biryani was the standout dish.,4,2026-03-15T16:13:03.076024
REV-000055,ORD-20260312-456952,CUST-10317,REST-AUH-002,Shocking! Mango Lassi  Gajar Halwa  Chicken 65  Chicken Biryani  and Chicken Seekh Kebab bore no resemblance to the menu description. Chicken 65 was inedible. Refund demanded!,1,2026-03-17T15:52:22.076024
REV-000058,ORD-20260315-889320,CUST-10084,REST-DXB-002,Unsatisfactory. Tandoori Roti  Fresh Lime Soda  Samosa (2 pcs)  and Gajar Halwa were not fresh. Fresh Lime Soda tasted reheated. Won't order again.,2,2026-03-21T14:20:55.076024
REV-000059,ORD-20260319-319412,CUST-10375,REST-DXB-002,Average experience. Paneer Tikka and Paneer Butter Masala were fine but Paneer Butter Masala was a bit bland. Room for improvement.,3,2026-03-22T21:28:28.076024
REV-000061,ORD-20260321-841853,CUST-10417,REST-AUH-002,Expected better. Samosa (2 pcs)  Vegetable Biryani  Malai Kofta  Rasmalai (2 pcs)  and Tandoori Roti were subpar. Tandoori Roti was too oily and greasy. Stomach upset followed.,2,2026-03-24T12:36:20.076024
REV-000062,ORD-20260321-691838,CUST-10069,REST-AUH-001,Absolutely amazing Chole Bhature  Sweet Lassi  Fresh Lime Soda  Gajar Halwa  and Butter Naan! The Gajar Halwa was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-26T14:13:24.076024
REV-000060,ORD-20260320-363104,CUST-10333,REST-AUH-002,Absolutely amazing Gajar Halwa  Gulab Jamun (2 pcs)  Butter Chicken  and Dal Makhani! The Gulab Jamun (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-26T19:58:15.076024
REV-000063,ORD-20260328-729552,CUST-10446,REST-AUH-002,Decent food but nothing special. Chicken 65 and Chole Bhature were okay. Chole Bhature lacked the punch I expected.,3,2026-03-31T18:47:21.076024
REV-000064,ORD-20260401-399624,CUST-10206,REST-DXB-002,Perfect in every way! Mango Lassi  Aloo Tikki Chaat  and Paneer Butter Masala were all excellent. Mango Lassi stood out with its rich  authentic taste.,5,2026-04-03T16:49:45.076024
REV-000065,ORD-20260403-861572,CUST-10208,REST-SHJ-001,Absolutely amazing Kulfi  Fresh Lime Soda  Mango Lassi  and Gajar Halwa! The Gajar Halwa was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-04-10T10:24:15.076024
REV-000066,ORD-20260409-962350,CUST-10069,REST-SHJ-001,Pleasant meal! Fish Curry  Gulab Jamun (2 pcs)  and Chole Bhature arrived warm. Fish Curry was tasty though not exceptional. Would order again.,4,2026-04-15T10:04:43.076024
